BusinessEntityID,TotalPurchaseYTD,DateFirstPurchase,BirthDate,AgeGroup,MaritalStatus,YearlyIncome,IncomeGroup,Gender,TotalChildren,ParentalStatus,NumberChildrenAtHome,Education,Occupation,EducationSegment,HomeOwnerFlag,NumberCarsOwned,OwnsAcar
1699,-16.01,2003-09-01 00:00:00.000,1961-02-23 00:00:00.000,56-65,M,25001-50000,Low Income,M,4,TRUE,0,Graduate Degree,Clerical,"Highly Educated ",1,0,FALSE
1700,-4.00,2004-06-05 00:00:00.000,1965-06-11 00:00:00.000,56-65,M,50001-75000,Medium Income,F,3,TRUE,3,"Bachelors ",Professional,Educated,1,1,TRUE
1701,4730.04,2002-04-07 00:00:00.000,1954-09-23 00:00:00.000,66+,S,75001-100000,High Income,M,2,TRUE,0,Partial College,Skilled Manual,Least Educated,0,2,TRUE
1702,2435.4018,2001-10-27 00:00:00.000,1943-07-15 00:00:00.000,66+,M,25001-50000,Low Income,M,1,TRUE,0,"Bachelors ",Clerical,Educated,1,0,FALSE
1703,1647.00,2002-04-18 00:00:00.000,1968-05-15 00:00:00.000,56-65,M,50001-75000,Medium Income,M,2,TRUE,2,"Bachelors ",Professional,Educated,1,1,TRUE
1704,-699.0964,2002-02-14 00:00:00.000,1955-09-13 00:00:00.000,66+,M,greater than 100000,Highest Income,F,3,TRUE,4,Partial College,Professional,Least Educated,1,3,TRUE
1705,1651.00,2003-10-29 00:00:00.000,1968-10-07 00:00:00.000,56-65,S,50001-75000,Medium Income,F,2,TRUE,2,"Bachelors ",Skilled Manual,Educated,0,1,TRUE
1706,15.49,2004-07-16 00:00:00.000,1979-04-12 00:00:00.000,36-45,M,0-25000,Least Income,M,0,FALSE,0,Partial College,Manual,Least Educated,1,1,TRUE
1707,37.70,2003-08-12 00:00:00.000,1963-02-23 00:00:00.000,56-65,S,50001-75000,Medium Income,M,0,FALSE,0,"Bachelors ",Professional,Educated,0,1,TRUE
1708,-4.99,2004-02-02 00:00:00.000,1947-04-07 00:00:00.000,66+,M,0-25000,Least Income,F,2,TRUE,1,Partial High School,Clerical,Least Educated,1,2,TRUE
1709,-39.01,2004-05-18 00:00:00.000,1963-09-03 00:00:00.000,56-65,S,75001-100000,High Income,M,0,FALSE,2,Partial College,Professional,Least Educated,1,2,TRUE
1710,0.00,2002-08-12 00:00:00.000,1957-10-19 00:00:00.000,66+,S,50001-75000,Medium Income,M,2,TRUE,0,High School,Professional,Least Educated,0,2,TRUE
1711,4.00,2004-03-12 00:00:00.000,1947-11-14 00:00:00.000,66+,M,75001-100000,High Income,M,5,TRUE,0,Partial High School,Skilled Manual,Least Educated,1,2,TRUE
1712,-2443.35,2002-09-03 00:00:00.000,1969-02-17 00:00:00.000,46-55,S,75001-100000,High Income,F,1,TRUE,0,Graduate Degree,Management,"Highly Educated ",1,0,FALSE
1713,-21.49,2003-12-30 00:00:00.000,1962-09-09 00:00:00.000,56-65,S,0-25000,Least Income,F,1,TRUE,0,Graduate Degree,Clerical,"Highly Educated ",0,0,FALSE
1714,-41.01,2004-07-19 00:00:00.000,1976-04-26 00:00:00.000,46-55,S,25001-50000,Low Income,F,0,FALSE,0,Partial College,Clerical,Least Educated,1,1,TRUE
1715,2.70,2004-01-08 00:00:00.000,1947-11-11 00:00:00.000,66+,S,25001-50000,Low Income,F,2,TRUE,0,Partial College,Clerical,Least Educated,0,2,TRUE
1716,2274.98,2004-06-01 00:00:00.000,1955-12-04 00:00:00.000,66+,M,greater than 100000,Highest Income,M,3,TRUE,4,Partial College,Professional,Least Educated,1,3,TRUE
1717,-539.99,2004-04-02 00:00:00.000,1980-10-16 00:00:00.000,36-45,S,0-25000,Least Income,F,0,FALSE,0,Partial High School,Manual,Least Educated,0,2,TRUE
1718,-1.01,2004-04-23 00:00:00.000,1965-09-16 00:00:00.000,56-65,M,0-25000,Least Income,F,4,TRUE,3,Partial High School,Manual,Least Educated,1,2,TRUE
1719,4679.05,2002-04-16 00:00:00.000,1956-02-17 00:00:00.000,66+,S,50001-75000,Medium Income,M,2,TRUE,0,High School,Skilled Manual,Least Educated,0,2,TRUE
1720,2342.0318,2002-08-10 00:00:00.000,1976-03-04 00:00:00.000,46-55,S,50001-75000,Medium Income,M,0,FALSE,0,"Bachelors ",Professional,Educated,0,3,TRUE
1721,-30.00,2003-10-12 00:00:00.000,1972-02-03 00:00:00.000,46-55,S,25001-50000,Low Income,M,0,FALSE,0,High School,Manual,Least Educated,1,1,TRUE
1722,3499.8504,2003-05-10 00:00:00.000,1974-09-18 00:00:00.000,46-55,S,0-25000,Least Income,F,0,FALSE,0,Partial High School,Manual,Least Educated,0,2,TRUE
1723,2327.70,2004-01-09 00:00:00.000,1969-10-02 00:00:00.000,46-55,S,25001-50000,Low Income,F,2,TRUE,2,"Bachelors ",Skilled Manual,Educated,1,0,FALSE
1724,-539.9882,2002-10-03 00:00:00.000,1945-05-10 00:00:00.000,66+,M,0-25000,Least Income,M,2,TRUE,1,Partial High School,Clerical,Least Educated,1,2,TRUE
1725,-13.01,2004-01-27 00:00:00.000,1947-05-01 00:00:00.000,66+,M,50001-75000,Medium Income,M,5,TRUE,0,"Bachelors ",Management,Educated,1,3,TRUE
1726,-69.99,2004-02-07 00:00:00.000,1941-09-28 00:00:00.000,66+,M,0-25000,Least Income,F,2,TRUE,0,Partial College,Manual,Least Educated,1,1,TRUE
1727,-4.00,2003-12-25 00:00:00.000,1951-06-26 00:00:00.000,66+,S,0-25000,Least Income,F,3,TRUE,0,High School,Manual,Least Educated,1,2,TRUE
1728,26.59,2004-01-24 00:00:00.000,1951-01-14 00:00:00.000,66+,M,25001-50000,Low Income,M,3,TRUE,0,High School,Skilled Manual,Least Educated,0,2,TRUE
1729,1463.4208,2003-02-17 00:00:00.000,1964-08-08 00:00:00.000,56-65,S,50001-75000,Medium Income,F,0,FALSE,0,"Bachelors ",Professional,Educated,0,1,TRUE
1730,4678.06,2002-03-31 00:00:00.000,1947-09-21 00:00:00.000,66+,M,greater than 100000,Highest Income,M,4,TRUE,5,Partial High School,Professional,Least Educated,1,3,TRUE
1731,-4.99,2004-07-01 00:00:00.000,1980-11-26 00:00:00.000,36-45,S,0-25000,Least Income,F,0,FALSE,0,Partial High School,Manual,Least Educated,0,2,TRUE
1732,3042.33,2002-01-21 00:00:00.000,1974-03-12 00:00:00.000,46-55,S,0-25000,Least Income,F,0,FALSE,0,Partial High School,Manual,Least Educated,0,2,TRUE
1733,98.98,2003-10-02 00:00:00.000,1979-07-02 00:00:00.000,36-45,S,25001-50000,Low Income,M,3,TRUE,3,Partial College,Clerical,Least Educated,1,2,TRUE
1734,-69.99,2004-03-21 00:00:00.000,1945-07-17 00:00:00.000,66+,M,75001-100000,High Income,M,5,TRUE,0,"Bachelors ",Management,Educated,1,2,TRUE
1735,-1868.37,2002-07-17 00:00:00.000,1972-10-15 00:00:00.000,46-55,S,25001-50000,Low Income,M,0,FALSE,0,High School,Manual,Least Educated,0,1,TRUE
1736,2196.9718,2003-06-04 00:00:00.000,1966-08-15 00:00:00.000,56-65,S,greater than 100000,Highest Income,F,0,FALSE,0,Graduate Degree,Management,"Highly Educated ",0,2,TRUE
1737,27.60,2003-10-02 00:00:00.000,1961-11-02 00:00:00.000,56-65,S,50001-75000,Medium Income,M,5,TRUE,4,Partial College,Skilled Manual,Least Educated,1,3,TRUE
1738,64.29,2003-10-08 00:00:00.000,1960-05-05 00:00:00.000,56-65,M,50001-75000,Medium Income,M,5,TRUE,4,Partial College,Skilled Manual,Least Educated,1,3,TRUE
1739,-8.02,2004-03-14 00:00:00.000,1960-12-24 00:00:00.000,56-65,S,25001-50000,Low Income,F,0,FALSE,0,"Bachelors ",Professional,Educated,0,1,TRUE
1740,2593.445,2003-01-09 00:00:00.000,1947-11-19 00:00:00.000,66+,M,greater than 100000,Highest Income,F,4,TRUE,5,Partial High School,Professional,Least Educated,1,3,TRUE
1741,6.37,2004-03-03 00:00:00.000,1973-03-16 00:00:00.000,46-55,M,75001-100000,High Income,F,0,FALSE,5,High School,Management,Least Educated,0,2,TRUE
1742,-4.99,2004-03-20 00:00:00.000,1979-05-02 00:00:00.000,36-45,S,25001-50000,Low Income,F,0,FALSE,0,High School,Skilled Manual,Least Educated,1,2,TRUE
1743,-6.01,2003-08-22 00:00:00.000,1936-08-03 00:00:00.000,66+,M,0-25000,Least Income,F,1,TRUE,0,Graduate Degree,Clerical,"Highly Educated ",1,0,FALSE
